experiment;cluster_rmse;cluster_count;cluster_r2;cluster_mape;cluster_mape0;case_rmse;case_count;case_r2;case_mape;case_mape0;case_top_decile_accuracy;case_top_decile_f1;case_top_decile_precision;case_top_decile_recall;case_bottom_decile_accuracy;case_bottom_decile_f1;case_bottom_decile_precision;case_bottom_decile_recall;dataset;clustering_parameter_type;clustering_parameter;clustering_method;model_type;prediction_activity;target_activity
AHOT_native_129_rho;24.15476820804501;354.0;-1.3697478008310062;0.7741889775284242;0.7741889775284242;23.777334599753875;171458.0;-0.12337602666704273;2.63339958955905;2.63339958955905;0.5006668575086707;0.10119568387284923;0.10119568387284923;0.10119568387284923;0.5036479508966786;0.10656167979002623;0.10656167979002623;0.10656167979002623;bpic2019;cluster_size;129;native;AHOT;Vendor creates invoice;Record Invoice Receipt
AHOT_native_12_rho;17.837184131669613;1752.0;-0.6466676990409848;0.7547183131984061;0.7547183131984061;23.13161412829127;171458.0;-0.06318952949714897;2.489744437916076;2.489744437916076;0.5020601946356743;0.1037037037037037;0.1037037037037037;0.1037037037037037;0.503809966841679;0.1068533100029163;0.1068533100029163;0.1068533100029163;bpic2019;cluster_size;12;native;AHOT;Vendor creates invoice;Record Invoice Receipt
AHOT_native_130_rho;23.996305143123113;354.0;-1.3387571708674768;0.7647740217153005;0.7647740217153005;23.757994259377735;171458.0;-0.12154927535113336;2.6355405881288667;2.6355405881288667;0.4991439076256666;0.0984543598716827;0.0984543598716827;0.0984543598716827;0.5057541581816842;0.11035287255759696;0.11035287255759696;0.11035287255759696;bpic2019;cluster_size;130;native;AHOT;Vendor creates invoice;Record Invoice Receipt
AHOT_native_131_rho;24.020791647631178;354.0;-1.3435326733124249;0.7640039254945562;0.7640039254945562;23.754045294281678;171458.0;-0.12117646687151028;2.640353729066436;2.640353729066436;0.5025462424706756;0.10457859434237388;0.10457859434237388;0.10457859434237388;0.5057541581816842;0.11035287255759696;0.11035287255759696;0.11035287255759696;bpic2019;cluster_size;131;native;AHOT;Vendor creates invoice;Record Invoice Receipt
AHOT_native_132_rho;23.97279253539558;354.0;-1.3341761873631612;0.7575538122730195;0.7575538122730195;23.753121383493053;171458.0;-0.12108925251489012;2.637318143583038;2.637318143583038;0.4998567777836685;0.09973753280839896;0.09973753280839896;0.09973753280839896;0.5071474953086879;0.11286089238845146;0.11286089238845146;0.11286089238845146;bpic2019;cluster_size;132;native;AHOT;Vendor creates invoice;Record Invoice Receipt
AHOT_native_133_rho;23.976354081805304;354.0;-1.3348697982008146;0.7581881192398642;0.7581881192398642;23.75878656170373;171458.0;-0.12162408140646595;2.6327217990478955;2.6327217990478955;0.4992411171926669;0.09862933799941677;0.09862933799941674;0.09862933799941674;0.5046200465666811;0.10831146106736657;0.10831146106736657;0.10831146106736657;bpic2019;cluster_size;133;native;AHOT;Vendor creates invoice;Record Invoice Receipt
AHOT_native_134_rho;23.93700706809372;354.0;-1.3272126898089724;0.7561445275214873;0.7561445275214873;23.752793187970404;171458.0;-0.1210582726764644;2.64063461380873;2.64063461380873;0.5011205021546719;0.1020122484689414;0.1020122484689414;0.1020122484689414;0.5063050123946856;0.11134441528142314;0.11134441528142316;0.11134441528142316;bpic2019;cluster_size;134;native;AHOT;Vendor creates invoice;Record Invoice Receipt
AHOT_native_135_rho;24.06087762185941;354.0;-1.3513609895261232;0.7652358482455611;0.7652358482455611;23.77055757285862;171458.0;-0.1227357476178863;2.635435088120352;2.635435088120352;0.5006344543196706;0.1011373578302712;0.1011373578302712;0.1011373578302712;0.5035831445186784;0.10644502770487024;0.10644502770487024;0.10644502770487024;bpic2019;cluster_size;135;native;AHOT;Vendor creates invoice;Record Invoice Receipt
AHOT_native_136_rho;24.018830357550826;354.0;-1.3431499915251297;0.7665692313932468;0.7665692313932468;23.754411524428694;171458.0;-0.1212110388176777;2.6401065136881514;2.6401065136881514;0.49778297368766294;0.09600466608340624;0.09600466608340624;0.09600466608340624;0.5074391240096887;0.11338582677165356;0.11338582677165356;0.11338582677165356;bpic2019;cluster_size;136;native;AHOT;Vendor creates invoice;Record Invoice Receipt
AHOT_native_137_rho;23.870738267505192;354.0;-1.3143449060816894;0.7586174062861721;0.7586174062861721;23.747953242859783;171458.0;-0.12060145838373848;2.6442505310721094;2.6442505310721094;0.4991115044366665;0.0983960338291047;0.0983960338291047;0.0983960338291047;0.5050736912126824;0.10912802566345874;0.10912802566345874;0.10912802566345874;bpic2019;cluster_size;137;native;AHOT;Vendor creates invoice;Record Invoice Receipt
