experiment;cluster_rmse;cluster_count;cluster_r2;cluster_mape;cluster_mape0;case_rmse;case_count;case_r2;case_mape;case_mape0;case_top_decile_accuracy;case_top_decile_f1;case_top_decile_precision;case_top_decile_recall;case_bottom_decile_accuracy;case_bottom_decile_f1;case_bottom_decile_precision;case_bottom_decile_recall;dataset;clustering_parameter_type;clustering_parameter;clustering_method;model_type;prediction_activity;target_activity
TestModel_random_105_rho;12.238272719833674;1.0256410256410255;-7365.707109385349;0.7556348367483056;0.7556348367483056;23.782470025592648;488.4843304843305;-7.140815677389007;2.963419840757359;2.963419840757359;0.5352539496048441;0.16071272811045567;0.16071272811045567;0.16071272811045567;0.5326333788009006;0.1556547393219447;0.1556547393219447;0.1556547393219447;bpic2019;cluster_size;105;random;TestModel;Vendor creates invoice;Record Invoice Receipt
TestModel_random_106_rho;12.238234201365549;1.0227920227920229;-7995.776827276295;0.755635234122703;0.755635234122703;23.782471527990776;488.4843304843305;-7.14081585531295;2.963420781635929;2.963420781635929;0.5352539496048441;0.16071272811045567;0.16071272811045567;0.16071272811045567;0.5326333788009006;0.1556547393219447;0.1556547393219447;0.1556547393219447;bpic2019;cluster_size;106;random;TestModel;Vendor creates invoice;Record Invoice Receipt
TestModel_random_107_rho;12.238234201365549;1.0227920227920229;-7995.776827276295;0.755635234122703;0.755635234122703;23.782471527990776;488.4843304843305;-7.14081585531295;2.963420781635929;2.963420781635929;0.5352539496048441;0.16071272811045567;0.16071272811045567;0.16071272811045567;0.5326333788009006;0.1556547393219447;0.1556547393219447;0.1556547393219447;bpic2019;cluster_size;107;random;TestModel;Vendor creates invoice;Record Invoice Receipt
TestModel_random_108_rho;12.23818883525028;1.01994301994302;-8783.170365581085;0.7556372022375519;0.7556372022375519;23.782481932135074;488.4843304843305;-7.14081803221542;2.9634229444746256;2.9634229444746256;0.5352539496048441;0.16071272811045567;0.16071272811045567;0.16071272811045567;0.5326333788009006;0.1556547393219447;0.1556547393219447;0.1556547393219447;bpic2019;cluster_size;108;random;TestModel;Vendor creates invoice;Record Invoice Receipt
TestModel_random_109_rho;12.23818883525028;1.01994301994302;-8783.170365581085;0.7556372022375519;0.7556372022375519;23.782481932135074;488.4843304843305;-7.14081803221542;2.9634229444746256;2.9634229444746256;0.5352539496048441;0.16071272811045567;0.16071272811045567;0.16071272811045567;0.5326333788009006;0.1556547393219447;0.1556547393219447;0.1556547393219447;bpic2019;cluster_size;109;random;TestModel;Vendor creates invoice;Record Invoice Receipt
TestModel_random_10_rho;12.541245850012444;5.880341880341881;-1008.8419625001899;0.7661384418639426;0.7661384418639426;23.799380675670207;488.4843304843305;-7.2025010588994895;2.9656258134519735;2.9656258134519735;0.5352539496048441;0.16071272811045567;0.16071272811045567;0.16071272811045567;0.5326333788009006;0.1556547393219447;0.1556547393219447;0.1556547393219447;bpic2019;cluster_size;10;random;TestModel;Vendor creates invoice;Record Invoice Receipt
TestModel_random_110_rho;12.23818883525028;1.01994301994302;-8783.170365581085;0.7556372022375519;0.7556372022375519;23.782481932135074;488.4843304843305;-7.14081803221542;2.9634229444746256;2.9634229444746256;0.5352539496048441;0.16071272811045567;0.16071272811045567;0.16071272811045567;0.5326333788009006;0.1556547393219447;0.1556547393219447;0.1556547393219447;bpic2019;cluster_size;110;random;TestModel;Vendor creates invoice;Record Invoice Receipt
TestModel_random_111_rho;12.238190064877559;1.01994301994302;-8783.170365581085;0.7556372747902725;0.7556372747902725;23.78248218908473;488.4843304843305;-7.140818049261838;2.9634224513694596;2.9634224513694596;0.5352539496048441;0.16071272811045567;0.16071272811045567;0.16071272811045567;0.5326333788009006;0.1556547393219447;0.1556547393219447;0.1556547393219447;bpic2019;cluster_size;111;random;TestModel;Vendor creates invoice;Record Invoice Receipt
TestModel_random_112_rho;12.23803499092958;1.017094017094017;-9713.418999829775;0.7556374229652107;0.7556374229652107;23.782481426295448;488.4843304843305;-7.140817820381638;2.9634222088576925;2.9634222088576925;0.5352539496048441;0.16071272811045567;0.16071272811045567;0.16071272811045567;0.5326333788009006;0.1556547393219447;0.1556547393219447;0.1556547393219447;bpic2019;cluster_size;112;random;TestModel;Vendor creates invoice;Record Invoice Receipt
TestModel_random_113_rho;12.23803499092958;1.017094017094017;-9713.418999829775;0.7556374229652107;0.7556374229652107;23.782481426295448;488.4843304843305;-7.140817820381638;2.9634222088576925;2.9634222088576925;0.5352539496048441;0.16071272811045567;0.16071272811045567;0.16071272811045567;0.5326333788009006;0.1556547393219447;0.1556547393219447;0.1556547393219447;bpic2019;cluster_size;113;random;TestModel;Vendor creates invoice;Record Invoice Receipt
